id,name,plant_name,plant_id
10253,SCB05,JHANSI,13186
10255,SCB04,JHANSI,13186
10257,SCB12,JHANSI,13186
10259,SCB06,JHANSI,13186
10261,SCB11,JHANSI,13186
10262,SCB07,JHANSI,13186
10266,SCB0,JHANSI,13186
10268,SCB09,JHANSI,13186
10270,SCB01,JHANSI,13186
10272,SCB15,JHANSI,13186
10274,SCB17,JHANSI,13186
10276,SCB16,JHANSI,13186
10278,SCB20,JHANSI,13186
10280,SCB18,JHANSI,13186
10282,SCB19,JHANSI,13186
10284,SCB10,JHANSI,13186
10287,SCB14,JHANSI,13186
10289,SCB32,JHANSI,13186
10291,SCB34,JHANSI,13186
10293,SCB23,JHANSI,13186
10295,SCB29,JHANSI,13186
10297,SCB28,JHANSI,13186
10502,SCB22,JHANSI,13186
10503,SCB20,JHANSI,13186
10505,SCB25,JHANSI,13186
10508,SCB14,JHANSI,13186
10510,SCB03,JHANSI,13186
10512,SCB08,JHANSI,13186
10514,SCB12,JHANSI,13186
10517,SCB13,JHANSI,13186
10519,SCB09,JHANSI,13186
10521,SCB0,JHANSI,13186
10522,SCB07,JHANSI,13186
10525,SCB05,JHANSI,13186
10527,SCB11,JHANSI,13186
10529,SCB06,JHANSI,13186
10531,SCB01,JHANSI,13186
10534,SCB02,JHANSI,13186
10536,SCB23,JHANSI,13186
10538,SCB24,JHANSI,13186
10539,SCB26,JHANSI,13186
10542,SCB21,JHANSI,13186
10544,SCB04,JHANSI,13186
10546,SCB12,JHANSI,13186
10547,SCB10,JHANSI,13186
10549,SCB28,JHANSI,13186
10551,SCB10,JHANSI,13186
10552,SCB32,JHANSI,13186
10554,SCB14,JHANSI,13186
10555,SCB18,JHANSI,13186
10557,SCB33,JHANSI,13186
10559,SCB13,JHANSI,13186
10560,SCB27,JHANSI,13186
10563,SCB29,JHANSI,13186
10564,SCB09,JHANSI,13186
10566,SCB35,JHANSI,13186
10567,SCB15,JHANSI,13186
10569,SCB30,JHANSI,13186
10571,SCB31,JHANSI,13186
10572,SCB11,JHANSI,13186
10574,SCB37,JHANSI,13186
10575,SCB26,JHANSI,13186
10577,SCB39,JHANSI,13186
10579,SCB27,JHANSI,13186
10580,SCB38,JHANSI,13186
10582,SCB40,JHANSI,13186
10583,SCB25,JHANSI,13186
10584,SCB36,JHANSI,13186
10588,SCB34,JHANSI,13186
10591,SCB17,JHANSI,13186
10592,SCB03,JHANSI,13186
10594,SCB15,JHANSI,13186
10596,SCB16,JHANSI,13186
10597,SCB02,JHANSI,13186
10599,SCB01,JHANSI,13186
10602,SCB17,JHANSI,13186
10604,SCB16,JHANSI,13186
10608,SCB24,JHANSI,13186
10611,SCB32,JHANSI,13186
10614,SCB22,JHANSI,13186
10617,SCB31,JHANSI,13186
10620,SCB23,JHANSI,13186
10623,SCB21,JHANSI,13186
10626,SCB38,JHANSI,13186
10629,SCB37,JHANSI,13186
10631,SCB29,JHANSI,13186
10635,SCB30,JHANSI,13186
10638,SCB36,JHANSI,13186
10641,SCB06,JHANSI,13186
10643,SCB18,JHANSI,13186
10645,SCB04,JHANSI,13186
10649,SCB05,JHANSI,13186
10653,SCB19,JHANSI,13186
10656,SCB08,JHANSI,13186
10659,SCB07,JHANSI,13186
10660,SCB35,JHANSI,13186
10663,SCB28,JHANSI,13186
10666,SCB33,JHANSI,13186
10667,SCB39,JHANSI,13186
10670,SCB40,JHANSI,13186
10672,SCB34,JHANSI,13186
10675,SCB41,JHANSI,13186
10678,SCB20,JHANSI,13186
10858,SCB5,JHANSI,13186
10862,SCB6,JHANSI,13186
10864,SCB11,JHANSI,13186
10865,SCB7,JHANSI,13186
10866,SCB10,JHANSI,13186
10868,SCB4,JHANSI,13186
10870,SCB04,JHANSI,13186
10872,SCB2,JHANSI,13186
10873,SCB02,JHANSI,13186
10875,SCB01,JHANSI,13186
10877,SCB05,JHANSI,13186
10879,SCB3,JHANSI,13186
10880,SCB03,JHANSI,13186
10883,SCB26,JHANSI,13186
10884,SCB1,JHANSI,13186
10886,SCB25,JHANSI,13186
10887,SCB24,JHANSI,13186
10890,SCB13,JHANSI,13186
10891,SCB0,JHANSI,13186
10893,SCB27,JHANSI,13186
10894,SCB14,JHANSI,13186
10896,SCB28,JHANSI,13186
10898,SCB09,JHANSI,13186
10899,SCB12,JHANSI,13186
10901,SCB08,JHANSI,13186
10903,SCB0,JHANSI,13186
10904,SCB9,JHANSI,13186
10906,SCB10,JHANSI,13186
10907,SCB06,JHANSI,13186
10909,SCB07,JHANSI,13186
10910,SCB11,JHANSI,13186
10911,SCB12,JHANSI,13186
10912,SCB23,JHANSI,13186
10913,SCB21,JHANSI,13186
10915,SCB13,JHANSI,13186
10918,SCB14,JHANSI,13186
10919,SCB17,JHANSI,13186
10922,SCB18,JHANSI,13186
10923,SCB16,JHANSI,13186
10925,SCB29,JHANSI,13186
10927,SCB8,JHANSI,13186
10928,SCB30,JHANSI,13186
10930,SCB21,JHANSI,13186
10931,SCB22,JHANSI,13186
10934,SCB15,JHANSI,13186
10935,SCB22,JHANSI,13186
10936,SCB23,JHANSI,13186
10938,SCB36,JHANSI,13186
10940,SCB20,JHANSI,13186
10942,SCB15,JHANSI,13186
10944,SCB34,JHANSI,13186
10945,SCB19,JHANSI,13186
10947,SCB17,JHANSI,13186
10949,SCB32,JHANSI,13186
10950,SCB16,JHANSI,13186
10952,SCB39,JHANSI,13186
10953,SCB34,JHANSI,13186
10956,SCB35,JHANSI,13186
10957,SCB31,JHANSI,13186
10958,SCB40,JHANSI,13186
10961,SCB39,JHANSI,13186
10962,SCB38,JHANSI,13186
10964,SCB38,JHANSI,13186
10966,SCB33,JHANSI,13186
10967,SCB40,JHANSI,13186
10969,SCB37,JHANSI,13186
10971,SCB37,JHANSI,13186
10972,SCB32,JHANSI,13186
10974,SCB41,JHANSI,13186
10975,SCB31,JHANSI,13186
10977,SCB41,JHANSI,13186
10979,SCB35,JHANSI,13186
10982,SCB33,JHANSI,13186
10984,SCB30,JHANSI,13186
10988,SCB18,JHANSI,13186
10989,SCB26,JHANSI,13186
10992,SCB28,JHANSI,13186
10994,SCB24,JHANSI,13186
10998,SCB25,JHANSI,13186
11000,SCB29,JHANSI,13186
11002,SCB27,JHANSI,13186
11005,SCB20,JHANSI,13186
11007,SCB19,JHANSI,13186
11395,SCB15,JHANSI,13186
11398,SCB14,JHANSI,13186
11400,SCB35,JHANSI,13186
11404,SCB19,JHANSI,13186
11406,SCB2,JHANSI,13186
11409,SCB16,JHANSI,13186
11410,SCB17,JHANSI,13186
11412,SCB13,JHANSI,13186
11415,SCB3,JHANSI,13186
11416,SCB10,JHANSI,13186
11420,SCB0,JHANSI,13186
11423,SCB4,JHANSI,13186
11426,SCB6,JHANSI,13186
11429,SCB11,JHANSI,13186
11431,SCB5,JHANSI,13186
11434,SCB7,JHANSI,13186
11437,SCB8,JHANSI,13186
11439,SCB9,JHANSI,13186
11442,SCB12,JHANSI,13186
11445,SCB38,JHANSI,13186
11448,SCB1,JHANSI,13186
11451,SCB39,JHANSI,13186
11453,SCB18,JHANSI,13186
11456,SCB23,JHANSI,13186
11459,SCB20,JHANSI,13186
11462,SCB41,JHANSI,13186
11464,SCB24,JHANSI,13186
11467,SCB36,JHANSI,13186
11470,SCB25,JHANSI,13186
11472,SCB37,JHANSI,13186
11474,SCB26,JHANSI,13186
11478,SCB40,JHANSI,13186
11481,SCB27,JHANSI,13186
11483,SCB21,JHANSI,13186
11484,SCB31,JHANSI,13186
11487,SCB28,JHANSI,13186
11489,SCB22,JHANSI,13186
11491,SCB29,JHANSI,13186
11492,SCB33,JHANSI,13186
11493,SCB32,JHANSI,13186
11496,SCB30,JHANSI,13186
11498,SCB34,JHANSI,13186
11762,SCB37,JHANSI,13186
11765,SCB13,JHANSI,13186
11768,SCB12,JHANSI,13186
11771,SCB2,JHANSI,13186
11773,SCB3,JHANSI,13186
11777,SCB4,JHANSI,13186
11779,SCB1,JHANSI,13186
11783,SCB5,JHANSI,13186
11785,SCB7,JHANSI,13186
11786,SCB6,JHANSI,13186
11789,SCB0,JHANSI,13186
11792,SCB15,JHANSI,13186
11794,SCB28,JHANSI,13186
11799,SCB17,JHANSI,13186
11801,SCB8,JHANSI,13186
11804,SCB16,JHANSI,13186
11807,SCB39,JHANSI,13186
11809,SCB40,JHANSI,13186
11813,SCB41,JHANSI,13186
11816,SCB14,JHANSI,13186
11818,SCB36,JHANSI,13186
11821,SCB38,JHANSI,13186
11823,SCB33,JHANSI,13186
11827,SCB29,JHANSI,13186
11830,SCB32,JHANSI,13186
11832,SCB30,JHANSI,13186
11836,SCB35,JHANSI,13186
11840,SCB31,JHANSI,13186
11842,SCB25,JHANSI,13186
11844,SCB27,JHANSI,13186
11848,SCB34,JHANSI,13186
11850,SCB26,JHANSI,13186
11852,SCB24,JHANSI,13186
11855,SCB22,JHANSI,13186
64233,POWER_TRAFO,JHANSI,13186
64267,ACTIVE_POWER_CONTROL,JHANSI,13186
64325,AVAILABILITY,JHANSI,13186
70459,HT2,JHANSI,13186
70460,HT3,JHANSI,13186
70461,HT4,JHANSI,13186
70462,HT5,JHANSI,13186
70463,HT6,JHANSI,13186
70464,HT7,JHANSI,13186
70465,HT8,JHANSI,13186
70466,HT9,JHANSI,13186
70467,HT10,JHANSI,13186
70732,WMS1,JHANSI,13186
70733,WMS2,JHANSI,13186
84577,INC05,JHANSI,13186
10589,SCB0,JHANSI,13186
4393870,WMS3,JHANSI,13186
9100,INV04,JHANSI,13186
9080,INV04,JHANSI,13186
70458,HT1,JHANSI,13186
9052,INV03,JHANSI,13186
9043,INV03,JHANSI,13186
9107,INV03,JHANSI,13186
9091,INV04,JHANSI,13186
9031,INV02,JHANSI,13186
64246,TVM_METER,JHANSI,13186
9023,INV02,JHANSI,13186
1559978,N3URON_DATALOGGER,HAPASAR,1559894
1559894,HAPASAR,HAPASAR,1559894
1559906,SWYD,HAPASAR,1559894
1559907,LINE,HAPASAR,1559894
1559908,BC,HAPASAR,1559894
1559911,TRF01,HAPASAR,1559894
1559912,TRF02,HAPASAR,1559894
1559913,TRF03,HAPASAR,1559894
1559914,SWTGR01,HAPASAR,1559894
1559915,SWTGR02,HAPASAR,1559894
1559916,SWTGR03,HAPASAR,1559894
1559917,SWTGR01_AUX,HAPASAR,1559894
1559918,SWTGR03_AUX,HAPASAR,1559894
1559919,OG1,HAPASAR,1559894
1559920,OG2,HAPASAR,1559894
1559921,OG3,HAPASAR,1559894
1559922,SWTGR02_INC01,HAPASAR,1559894
1559923,SWTGR02_INC02,HAPASAR,1559894
